path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
CS<-stringency2,1200,-1.6345122041500846,-1.6171130806927316,0.01739912345735295,1.0644841569959105,0.4015375941596098,0.4015622174150774,0.43154593466899044,0.96,0.966
CS<-stringency2,1600,-1.6345122041500846,-1.625515312879074,0.008996891271010554,0.5504327987372393,0.3598425031554104,0.3600902845825065,0.3737373739245705,0.958,0.994
CS<-stringency2,2400,-1.6345122041500846,-1.6197205188660768,0.01479168528400776,0.9049602227772968,0.3061427640175169,0.3060914601400785,0.30453146258286545,0.954,1.0
PA<-agency,200,0.6762766885633896,0.6817804119515849,0.00550372338819527,0.8138271629440099,0.1145541112644596,0.11453641612034053,0.12800027219864032,0.97,1.0
PA<-agency,400,0.6762766885633896,0.6751713263578706,-0.0011053622055190448,-0.16344821937682408,0.07849479411262518,0.07856561581987592,0.08995772313051772,0.976,1.0
PA<-agency,800,0.6762766885633896,0.6735125932163326,-0.002764095347057016,-0.40872255303146404,0.05723812856020069,0.057228606174848186,0.06336305334263877,0.968,1.0
PA<-agency,1200,0.6762766885633896,0.672570304271466,-0.0037063842919236034,-0.5480573786731541,0.04827954087480902,0.048185271851570545,0.051704794497930286,0.974,1.0
PA<-agency,1600,0.6762766885633896,0.6765142394854383,0.00023755092204869044,0.035126291659256674,0.039916811042433595,0.039956080263920994,0.04473909677755546,0.984,1.0
PA<-agency,2400,0.6762766885633896,0.6763931185440515,0.0001164299806618585,0.01721632323435809,0.03520194278543118,0.03523700488058373,0.03649416499914286,0.956,1.0
PA<-locus:collectivism,200,0.13251795811666608,0.13926903775813126,0.00675107964146518,5.094463978588263,0.08764021056404342,0.0874673109931316,0.08748852747834059,0.946,0.348
PA<-locus:collectivism,400,0.13251795811666608,0.13774316465605368,0.0052252065393876,3.9430176963246035,0.05899114435120912,0.05881812196448294,0.06075043948333193,0.97,0.64
PA<-locus:collectivism,800,0.13251795811666608,0.13461318300741898,0.0020952248907528948,1.581087514865337,0.04221194503663974,0.04220213711635751,0.042786416242752236,0.946,0.882
PA<-locus:collectivism,1200,0.13251795811666608,0.13377189560704425,0.0012539374903781653,0.9462396705997854,0.03311391816977454,0.03312330787185204,0.03486380977371979,0.97,0.98
PA<-locus:collectivism,1600,0.13251795811666608,0.1315536394506035,-0.0009643186660625858,-0.7276890466470534,0.029346472278452336,0.02935999904270827,0.030173373139426828,0.95,0.994
PA<-locus:collectivism,2400,0.13251795811666608,0.13407981785876086,0.0015618597420947733,1.1786023300388904,0.02612643473783042,0.02610582721703158,0.024633823260042733,0.936,1.0
PR<-AD,200,0.5362571080233863,0.5328737628293686,-0.0033833451940177284,-0.6309184798467735,0.04725177107325116,0.04717768872554082,0.059634231911938534,0.99,1.0
PR<-AD,400,0.5362571080233863,0.5321789170733842,-0.00407819095000217,-0.7604917284969048,0.033975316355486035,0.033763448000351234,0.04175632494990091,0.978,1.0
PR<-AD,800,0.5362571080233863,0.5335997681934077,-0.002657339829978622,-0.4955346586954293,0.02413901580063222,0.02401633188573293,0.02937414180181708,0.988,1.0
PR<-AD,1200,0.5362571080233863,0.5336691800488905,-0.0025879279744958072,-0.4825908945113919,0.01902997502552353,0.018872066342797894,0.02395833531367849,0.992,1.0
PR<-AD,1600,0.5362571080233863,0.5347653108646301,-0.0014917971587562473,-0.27818692497189385,0.016898201057522332,0.016849080783950914,0.020718242130563603,0.986,1.0
